collabora-1  | Certificate request self-signature ok
collabora-1  | subject=C=DE, ST=BW, L=Stuttgart, O=Dummy Authority, CN=localhost
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.160496 +0000 [ coolwsd ] INF  Initializing wsd. Local time: Sun 2026-03-01 11:52:06 +0000. Log level is [8]| common/Log.cpp:656
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.160569 +0000 [ coolwsd ] INF  Setting log-level to [trace] and delaying setting to [warning] until after WSD initialization.| wsd/COOLWSD.cpp:1556
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.160596 +0000 [ coolwsd ] INF  Initializing coolwsd 25.04.9.2 server []. Experimental features are enabled.| wsd/COOLWSD.cpp:1569
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.168590 +0000 [ coolwsd ] INF  Loaded config file [/etc/coolwsd/coolwsd.xml] (non-default values):
collabora-1  | 	cache_files.expiry_min: 1000
collabora-1  | 	cache_files.path: /opt/cool/cache
collabora-1  | 	indirection_endpoint.geolocation_setup.allowed_websocket_origins: 
collabora-1  | 	logging.anonymize.anonymize_user_data: false
collabora-1  | 	logging.color: false
collabora-1  | 	logging_ui_cmd.merge_display_end_time: true
collabora-1  | 	net.post_allow.host: .*
collabora-1  | 	ssl.ca_file_path: /tmp/ssl/certs/ca/root.crt.pem
collabora-1  | 	ssl.cert_file_path: /tmp/ssl/certs/servers/localhost/cert.pem
collabora-1  | 	ssl.enable: false
collabora-1  | 	ssl.key_file_path: /tmp/ssl/certs/servers/localhost/privkey.pem
collabora-1  | 	ssl.termination: true
collabora-1  | 	storage.ssl.enable: 
collabora-1  | 	storage.wopi.alias_groups.mode: first
collabora-1  | | wsd/COOLWSD.cpp:1578
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.168808 +0000 [ coolwsd ] INF  Anonymization of user-data is configurable.| wsd/COOLWSD.cpp:1647
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.169033 +0000 [ coolwsd ] INF  Anonymization of user-data is disabled.| wsd/COOLWSD.cpp:1694
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.169080 +0000 [ coolwsd ] INF  SSL support: SSL is disabled.| wsd/COOLWSD.cpp:1741
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.169089 +0000 [ coolwsd ] INF  SSL support: termination is enabled.| wsd/COOLWSD.cpp:1742
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.169106 +0000 [ coolwsd ] DBG  Setting envar PDFIMPORT_RESOLUTION_DPI=96 per config per_document.pdf_resolution_dpi| wsd/COOLWSD.cpp:1766
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.169271 +0000 [ coolwsd ] DBG  Normalizing childroot: /opt/cool/child-roots/1-e8133a08/| wsd/COOLWSD.cpp:1808
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.169291 +0000 [ coolwsd ] DBG  Childroot: /opt/cool/child-roots/1-e8133a08/| wsd/COOLWSD.cpp:1810
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.176098 +0000 [ coolwsd ] INF  Creating childroot: [/opt/cool/child-roots/1-e8133a08/] with mount-namespaces| wsd/COOLWSD.cpp:1868
collabora-1  | wsd-00020-00001 2026-03-01 11:52:06.177848 +0000 [ coolwsd ] DBG  Test moving into user namespace as uid 0 in level 2 child| wsd/COOLWSD.cpp:1229
collabora-1  | wsd-00020-00001 2026-03-01 11:52:06.183571 +0000 [ coolwsd ] ERR  enterMountingNS, CLONE_NEWUSER unshare failed (EPERM: Operation not permitted)| common/JailUtil.cpp:73
collabora-1  | wsd-00019-00001 2026-03-01 11:52:06.191125 +0000 [ coolwsd ] DBG  testMountingNSInFork status: 0| wsd/COOLWSD.cpp:1261
collabora-1  | wsd-00019-00001 2026-03-01 11:52:06.191377 +0000 [ coolwsd ] DBG  Move into user namespace as uid 0| wsd/COOLWSD.cpp:1293
collabora-1  | wsd-00019-00001 2026-03-01 11:52:06.191384 +0000 [ coolwsd ] ERR  creating usernamespace for mount user failed.| wsd/COOLWSD.cpp:1297
collabora-1  | wsd-00019-00001 2026-03-01 11:52:06.191668 +0000 [ coolwsd ] INF  Cleaning up childroot directory [/opt/cool/child-roots/].| common/JailUtil.cpp:357
collabora-1  | wsd-00019-00001 2026-03-01 11:52:06.192691 +0000 [ coolwsd ] DBG  Removing [/opt/cool/child-roots/tmp] recursively.| common/FileUtil-unix.cpp:112
collabora-1  | wsd-00019-00001 2026-03-01 11:52:06.192965 +0000 [ coolwsd ] DBG  Removing [/opt/cool/child-roots/linkable] recursively.| common/FileUtil-unix.cpp:112
collabora-1  | wsd-00019-00001 2026-03-01 11:52:06.193058 +0000 [ coolwsd ] DBG  Unmounting [/opt/cool/child-roots/]| common/JailUtil.cpp:207
collabora-1  | sh: 1: /usr/bin/coolmount: Operation not permitted
collabora-1  | wsd-00019-00001 2026-03-01 11:52:06.193188 +0000 [ coolwsd ] TRC  Executing coolmount command: /usr/bin/coolmount -u -s /opt/cool/child-roots| common/JailUtil.cpp:154
